gen,fidelity,predicates,uncovered,rules
1,1.0,18.0,327.0,[worst texture == 3.12]→0 | [smoothness error == 2.93 AND mean perimeter == -1.16 AND worst concavity == 4.12]→0 | [concave points error > -0.98 AND worst concave points == 0.21 AND worst texture > 2.18]→1 | [worst symmetry == 1.50]→0 | [mean smoothness == 0.16 AND symmetry error <= 3.28]→1 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture >= -0.21]→0 | [mean texture <= 3.25 AND compactness error <= 0.43 AND mean compactness > 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 1.57]→0
2,1.0,18.0,327.0,[worst texture == 3.12]→0 | [smoothness error == 2.93 AND mean perimeter == -1.16 AND worst concavity == 4.12]→0 | [concave points error > -0.98 AND worst concave points == 0.21 AND worst texture > 2.18]→1 | [worst symmetry == 1.50]→0 | [mean smoothness == 0.16 AND symmetry error <= 3.28]→1 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture >= -0.21]→0 | [mean texture <= 3.25 AND compactness error <= 0.43 AND mean compactness > 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 1.57]→0
3,1.0,18.0,327.0,[worst texture == 3.12]→0 | [smoothness error == 2.93 AND mean perimeter == -1.16 AND worst concavity == 4.12]→0 | [concave points error > -0.98 AND worst concave points == 0.21 AND worst texture > 2.18]→1 | [worst symmetry == 1.50]→0 | [mean smoothness == 0.16 AND symmetry error <= 3.28]→1 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture >= -0.21]→0 | [mean texture <= 3.25 AND compactness error <= 0.43 AND mean compactness > 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 1.57]→0
4,1.0,18.0,327.0,[worst texture == 3.12]→0 | [smoothness error == 2.93 AND mean perimeter == -1.16 AND worst concavity == 4.12]→0 | [concave points error > -0.98 AND worst concave points == 0.21 AND worst texture > 2.18]→1 | [worst symmetry == 1.50]→0 | [mean smoothness == 0.16 AND symmetry error <= 3.28]→1 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture >= -0.21]→0 | [mean texture <= 3.25 AND compactness error <= 0.43 AND mean compactness > 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 1.57]→0
5,1.0,18.0,327.0,[worst texture == 3.12]→0 | [smoothness error == 2.93 AND mean perimeter == -1.16 AND worst concavity == 4.12]→0 | [concave points error > -0.98 AND worst concave points == 0.21 AND worst texture > 2.18]→1 | [worst symmetry == 1.50]→0 | [mean smoothness == 0.16 AND symmetry error <= 3.28]→1 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture >= -0.21]→0 | [mean texture <= 3.25 AND compactness error <= 0.43 AND mean compactness > 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 1.57]→0
6,1.0,18.0,327.0,[worst texture == 3.12]→0 | [smoothness error == 2.93 AND mean perimeter == -1.16 AND worst concavity == 4.12]→0 | [concave points error > -0.98 AND worst concave points == 0.21 AND worst texture > 2.18]→1 | [worst symmetry == 1.50]→0 | [mean smoothness == 0.16 AND symmetry error <= 3.28]→1 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture >= -0.21]→0 | [mean texture <= 3.25 AND compactness error <= 0.43 AND mean compactness > 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 1.57]→0
7,1.0,18.0,327.0,[worst texture == 3.12]→0 | [smoothness error == 2.93 AND mean perimeter == -1.16 AND worst concavity == 4.12]→0 | [concave points error > -0.98 AND worst concave points == 0.21 AND worst texture > 2.18]→1 | [worst symmetry == 1.50]→0 | [mean smoothness == 0.16 AND symmetry error <= 3.28]→1 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture >= -0.21]→0 | [mean texture <= 3.25 AND compactness error <= 0.43 AND mean compactness > 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 1.57]→0
8,1.0,18.0,327.0,[worst texture == 3.12]→0 | [smoothness error == 2.93 AND mean perimeter == -1.16 AND worst concavity == 4.12]→0 | [concave points error > -0.98 AND worst concave points == 0.21 AND worst texture > 2.18]→1 | [worst symmetry == 1.50]→0 | [mean smoothness == 0.16 AND symmetry error <= 3.28]→1 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture >= -0.21]→0 | [mean texture <= 3.25 AND compactness error <= 0.43 AND mean compactness > 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 1.57]→0
9,1.0,16.0,324.0,[worst texture == 3.12]→0 | [mean radius > 1.58]→0 | [concave points error > -0.98 AND worst concave points == 0.21 AND worst texture > 2.18]→1 | [worst symmetry == 1.50]→0 | [mean smoothness == 0.16 AND symmetry error <= 3.28]→1 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture >= -0.21]→0 | [mean texture <= 3.25 AND compactness error <= 0.43 AND mean compactness > 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 1.57]→0
10,1.0,16.0,324.0,[worst texture == 3.12]→0 | [mean radius > 1.58]→0 | [concave points error > -0.98 AND worst concave points == 0.21 AND worst texture > 2.18]→1 | [worst symmetry == 1.50]→0 | [mean smoothness == 0.16 AND symmetry error <= 3.28]→1 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture >= -0.21]→0 | [mean texture <= 3.25 AND compactness error <= 0.43 AND mean compactness > 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 1.57]→0
11,1.0,16.0,324.0,[worst texture == 3.12]→0 | [mean radius > 1.58]→0 | [concave points error > -0.98 AND worst concave points == 0.21 AND worst texture > 2.18]→1 | [worst symmetry == 1.50]→0 | [mean smoothness == 0.16 AND symmetry error <= 3.28]→1 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture >= -0.21]→0 | [mean texture <= 3.25 AND compactness error <= 0.43 AND mean compactness > 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 1.57]→0
12,1.0,16.0,324.0,[worst texture == 3.12]→0 | [mean radius > 1.58]→0 | [concave points error > -0.98 AND worst concave points == 0.21 AND worst texture > 2.18]→1 | [worst symmetry == 1.50]→0 | [mean smoothness == 0.16 AND symmetry error <= 3.28]→1 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture >= -0.21]→0 | [mean texture <= 3.25 AND compactness error <= 0.43 AND mean compactness > 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 1.57]→0
13,1.0,16.0,324.0,[worst texture == 3.12]→0 | [mean radius > 1.58]→0 | [concave points error > -0.98 AND worst concave points == 0.21 AND worst texture > 2.18]→1 | [worst symmetry == 1.50]→0 | [mean smoothness == 0.16 AND symmetry error <= 3.28]→1 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture >= -0.21]→0 | [mean texture <= 3.25 AND compactness error <= 0.43 AND mean compactness > 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 1.57]→0
14,1.0,16.0,324.0,[worst texture == 3.12]→0 | [mean radius > 1.58]→0 | [concave points error > -0.98 AND worst concave points == 0.21 AND worst texture > 2.18]→1 | [worst symmetry == 1.50]→0 | [mean smoothness == 0.16 AND symmetry error <= 3.28]→1 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture >= -0.21]→0 | [mean texture <= 3.25 AND compactness error <= 0.43 AND mean compactness > 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 1.57]→0
15,1.0,16.0,324.0,[worst texture == 3.12]→0 | [mean radius > 1.58]→0 | [concave points error > -0.98 AND worst concave points == 0.21 AND worst texture > 2.18]→1 | [worst symmetry == 1.50]→0 | [mean smoothness == 0.16 AND symmetry error <= 3.28]→1 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture >= -0.21]→0 | [mean texture <= 3.25 AND compactness error <= 0.43 AND mean compactness > 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 1.57]→0
16,1.0,16.0,324.0,[worst texture == 3.12]→0 | [mean radius > 1.58]→0 | [concave points error > -0.98 AND worst concave points == 0.21 AND worst texture > 2.18]→1 | [worst symmetry == 1.50]→0 | [mean smoothness == 0.16 AND symmetry error <= 3.28]→1 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture >= -0.21]→0 | [mean texture <= 3.25 AND compactness error <= 0.43 AND mean compactness > 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 1.57]→0
17,1.0,15.0,324.0,[worst texture == 3.12]→0 | [mean radius > 1.58]→0 | [mean perimeter > -0.23 AND worst symmetry == -0.95]→1 | [worst symmetry == 1.50]→0 | [mean smoothness == 0.16 AND symmetry error <= 3.28]→1 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture >= -0.21]→0 | [mean texture <= 3.25 AND compactness error <= 0.43 AND mean compactness > 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 1.57]→0
18,1.0,15.0,324.0,[worst texture == 3.12]→0 | [mean radius > 1.58]→0 | [mean perimeter > -0.23 AND worst symmetry == -0.95]→1 | [worst symmetry == 1.50]→0 | [mean smoothness == 0.16 AND symmetry error <= 3.28]→1 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture >= -0.21]→0 | [mean texture <= 3.25 AND compactness error <= 0.43 AND mean compactness > 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 1.57]→0
19,1.0,15.0,324.0,[worst texture == 3.12]→0 | [mean radius > 1.58]→0 | [mean perimeter > -0.23 AND worst symmetry == -0.95]→1 | [worst symmetry == 1.50]→0 | [mean smoothness == 0.16 AND symmetry error <= 3.28]→1 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture >= -0.21]→0 | [mean texture <= 3.25 AND compactness error <= 0.43 AND mean compactness > 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 1.57]→0
20,1.0,15.0,324.0,[worst texture == 3.12]→0 | [mean radius > 1.58]→0 | [mean perimeter > -0.23 AND worst symmetry == -0.95]→1 | [worst symmetry == 1.50]→0 | [mean smoothness == 0.16 AND symmetry error <= 3.28]→1 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture >= -0.21]→0 | [mean texture <= 3.25 AND compactness error <= 0.43 AND mean compactness > 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 1.57]→0
21,1.0,15.0,324.0,[worst texture == 3.12]→0 | [mean radius > 1.58]→0 | [mean perimeter > -0.23 AND worst symmetry == -0.95]→1 | [worst symmetry == 1.50]→0 | [mean smoothness == 0.16 AND symmetry error <= 3.28]→1 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture >= -0.21]→0 | [mean texture <= 3.25 AND compactness error <= 0.43 AND mean compactness > 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 1.57]→0
22,1.0,15.0,324.0,[worst texture == 3.12]→0 | [mean radius > 1.58]→0 | [mean perimeter > -0.23 AND worst symmetry == -0.95]→1 | [worst symmetry == 1.50]→0 | [mean smoothness == 0.16 AND symmetry error <= 3.28]→1 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture >= -0.21]→0 | [mean texture <= 3.25 AND compactness error <= 0.43 AND mean compactness > 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 1.57]→0
23,1.0,15.0,324.0,[worst texture == 3.12]→0 | [mean radius > 1.58]→0 | [mean perimeter > -0.23 AND worst symmetry == -0.95]→1 | [worst symmetry == 1.50]→0 | [mean smoothness == 0.16 AND symmetry error <= 3.28]→1 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture >= -0.21]→0 | [mean texture <= 3.25 AND compactness error <= 0.43 AND mean compactness > 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 1.57]→0
24,1.0,15.0,324.0,[worst texture == 3.12]→0 | [mean radius > 1.58]→0 | [mean perimeter > -0.23 AND worst symmetry == -0.95]→1 | [worst symmetry == 1.50]→0 | [mean smoothness == 0.16 AND symmetry error <= 3.28]→1 | [mean radius >= -0.34 AND mean radius > 1.53 AND mean texture >= -0.21]→0 | [mean texture <= 3.25 AND compactness error <= 0.43 AND mean compactness > 3.14]→1 | [worst symmetry >= 1.52 AND worst fractal dimension >= 1.57]→0
